m,greedy,lpc,opt_greedy,opt_clp
451,0.002561211585998535,0.04543890953063965,20,44
452,0.002567768096923828,0.04603209495544434,18,47
453,0.0026864051818847657,0.04591655731201172,19,44
454,0.0028572797775268553,0.045468592643737794,20,46
455,0.002642321586608887,0.04496190547943115,19,45
456,0.0026194095611572266,0.04477534294128418,19,43
457,0.0024665355682373046,0.045553159713745114,20,41
458,0.002513003349304199,0.04574930667877197,18,43
459,0.0027129411697387694,0.04509329795837402,20,42
460,0.0023858070373535155,0.04432125091552734,18,43
461,0.0026743173599243163,0.04488461017608643,19,42
462,0.0024530887603759766,0.045650386810302736,19,42
463,0.0025525808334350584,0.045749878883361815,18,45
464,0.002883172035217285,0.045700693130493165,20,49
465,0.00270388126373291,0.045307064056396486,18,44
466,0.0027454853057861327,0.04675450325012207,20,48
467,0.0024946451187133787,0.04636185169219971,19,48
468,0.0025893449783325195,0.04612104892730713,19,46
469,0.002777242660522461,0.06265323162078858,19,44
470,0.002550840377807617,0.046352601051330565,18,47
471,0.0028249502182006838,0.04588382244110108,19,44
472,0.0026891946792602537,0.045810818672180176,20,43
473,0.002757358551025391,0.04461982250213623,19,44
474,0.002749943733215332,0.0461557149887085,19,47
475,0.0026711225509643555,0.046828937530517575,19,44
476,0.0027471542358398437,0.04692311286926269,19,46
477,0.0028975248336791993,0.04652872085571289,19,43
478,0.0028959035873413084,0.04662013053894043,20,45
479,0.0025998830795288088,0.04680652618408203,18,47
480,0.0027823448181152344,0.046517562866210935,20,48
481,0.002699422836303711,0.04676051139831543,20,41
482,0.0030016422271728514,0.047101187705993655,20,43
483,0.0029555797576904298,0.04643027782440186,19,44
484,0.002869319915771484,0.04603066444396973,20,46
485,0.002966618537902832,0.04663305282592774,20,44
486,0.0028049468994140623,0.04685392379760742,19,44
487,0.0029417753219604494,0.04755644798278809,21,49
488,0.0029467105865478515,0.046946144104003905,20,44
489,0.0027029991149902345,0.047156143188476565,19,44
490,0.002773618698120117,0.0473388671875,19,44
491,0.002880549430847168,0.04605531692504883,20,45
492,0.0029619693756103515,0.04666259288787842,19,45
493,0.002874302864074707,0.04846532344818115,19,50
494,0.002784991264343262,0.047833371162414554,19,44
495,0.0029152870178222657,0.046810579299926755,18,46
496,0.00255429744720459,0.04771411418914795,20,42
497,0.0029315710067749023,0.04804966449737549,20,45
498,0.002891945838928223,0.047301220893859866,19,45
499,0.0028885602951049805,0.046798300743103025,19,43
